"filename", "language", "JavaScript", "CSS", "SCSS", "comment", "blank", "total"
"c:\Users\PouyA\Desktop\Prog\bilitjassrnew\src\pages\panelnew\manager\sell-report\all-sell-report\TopFilter.jsx", "JavaScript", -115, 0, 0, 0, -9, -124
"c:\Users\PouyA\Desktop\Prog\bilitjassrnew\src\pages\panelnew\manager\sell-report\all-sell-report\data.js", "JavaScript", -242, 0, 0, 0, -4, -246
"c:\Users\PouyA\Desktop\Prog\bilitjassrnew\src\pages\panelnew\manager\sell-report\sell-report\Consular-report.jsx", "JavaScript", -110, 0, 0, 0, -4, -114
"c:\Users\PouyA\Desktop\Prog\bilitjassrnew\src\pages\panelnew\manager\sell-report\sell-report\Descktop.module.scss", "SCSS", 0, 0, -439, -7, -37, -483
"c:\Users\PouyA\Desktop\Prog\bilitjassrnew\src\pages\panelnew\manager\sell-report\sell-report\DesktopFlightSellReport.jsx", "JavaScript", -180, 0, 0, -1, -13, -194
"c:\Users\PouyA\Desktop\Prog\bilitjassrnew\src\pages\panelnew\manager\sell-report\sell-report\DesktopInfoSell.jsx", "JavaScript", -400, 0, 0, 0, -12, -412
"c:\Users\PouyA\Desktop\Prog\bilitjassrnew\src\pages\panelnew\manager\sell-report\sell-report\Filter.jsx", "JavaScript", -53, 0, 0, -9, -1, -63
"c:\Users\PouyA\Desktop\Prog\bilitjassrnew\src\pages\panelnew\manager\sell-report\sell-report\Sales-report.jsx", "JavaScript", -92, 0, 0, 0, -5, -97
"c:\Users\PouyA\Desktop\Prog\bilitjassrnew\src\pages\panelnew\manager\sell-report\sell-report\TopFilter.jsx", "JavaScript", -59, 0, 0, -1, -8, -68
"c:\Users\PouyA\Desktop\Prog\bilitjassrnew\src\pages\panelnew\manager\sell-report\sell-report\reserving.jsx", "JavaScript", -208, 0, 0, -2, -12, -222
"c:\Users\PouyA\Desktop\Prog\bilitjassrnew\src\pages\panelnew\manager\sell-report\sell-report\transaction.jsx", "JavaScript", -138, 0, 0, -3, -8, -149
"c:\Users\PouyA\Desktop\Prog\bilitjassrnew\src\pages\panelnew\manager\tours\Tours.js", "JavaScript", -9, 0, 0, 0, -2, -11
"c:\Users\PouyA\Desktop\Prog\bilitjassrnew\src\pages\panelnew\manager\villa\AddVilla.page.jsx", "JavaScript", -1396, 0, 0, -38, -29, -1463
"c:\Users\PouyA\Desktop\Prog\bilitjassrnew\src\pages\panelnew\manager\villa\ManagementVilaSetPriceCalendar.component.jsx", "JavaScript", -224, 0, 0, -3, -21, -248
"c:\Users\PouyA\Desktop\Prog\bilitjassrnew\src\pages\panelnew\manager\villa\UpdateVila.page.jsx", "JavaScript", -1318, 0, 0, -49, -32, -1399
"c:\Users\PouyA\Desktop\Prog\bilitjassrnew\src\pages\panelnew\manager\villa\VilaDetail.page.jsx", "JavaScript", -203, 0, 0, -1, -12, -216
"c:\Users\PouyA\Desktop\Prog\bilitjassrnew\src\pages\panelnew\manager\villa\VilaReservation.page.jsx", "JavaScript", -40, 0, 0, 0, -3, -43
"c:\Users\PouyA\Desktop\Prog\bilitjassrnew\src\pages\panelnew\manager\villa\Villa.page.jsx", "JavaScript", -232, 0, 0, -114, -6, -352
"Total", "-", -9781, -40, -1274, -304, -512, -11911
